##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	pc33_read2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	404640790
Sequences flagged as poor quality	0
Sequence length	150
%GC	46
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	37.33255184678737	40.0	40.0	40.0	24.0	40.0
2	39.191354653098614	40.0	40.0	40.0	40.0	40.0
3	39.21508838493519	40.0	40.0	40.0	40.0	40.0
4	39.32833033960812	40.0	40.0	40.0	40.0	40.0
5	39.264824438485306	40.0	40.0	40.0	40.0	40.0
6	39.31616878268748	40.0	40.0	40.0	40.0	40.0
7	39.4123814062344	40.0	40.0	40.0	40.0	40.0
8	39.340213837561954	40.0	40.0	40.0	40.0	40.0
9	39.407774905738	40.0	40.0	40.0	40.0	40.0
10	39.441526594488906	40.0	40.0	40.0	40.0	40.0
11	39.41002448616216	40.0	40.0	40.0	40.0	40.0
12	39.458680183972554	40.0	40.0	40.0	40.0	40.0
13	39.319990616862924	40.0	40.0	40.0	40.0	40.0
14	39.37300773359997	40.0	40.0	40.0	40.0	40.0
15	39.291628236490936	40.0	40.0	40.0	40.0	40.0
16	39.40469136589022	40.0	40.0	40.0	40.0	40.0
17	39.31614380250691	40.0	40.0	40.0	40.0	40.0
18	39.36183582974915	40.0	40.0	40.0	40.0	40.0
19	39.31127776317361	40.0	40.0	40.0	40.0	40.0
20	39.287544975384215	40.0	40.0	40.0	40.0	40.0
21	39.163339039546656	40.0	40.0	40.0	40.0	40.0
22	39.31660370670984	40.0	40.0	40.0	40.0	40.0
23	39.19213280994237	40.0	40.0	40.0	40.0	40.0
24	39.25274019952363	40.0	40.0	40.0	40.0	40.0
25	39.207409065210655	40.0	40.0	40.0	40.0	40.0
26	38.96878125410935	40.0	40.0	40.0	40.0	40.0
27	38.93720189702081	40.0	40.0	40.0	40.0	40.0
28	38.90713448340193	40.0	40.0	40.0	40.0	40.0
29	38.86115726988374	40.0	40.0	40.0	40.0	40.0
30	38.84062289913975	40.0	40.0	40.0	40.0	40.0
31	38.78531015125786	40.0	40.0	40.0	40.0	40.0
32	38.71232829493042	40.0	40.0	40.0	40.0	40.0
33	38.638437474383146	40.0	40.0	40.0	40.0	40.0
34	38.5394749649436	40.0	40.0	40.0	40.0	40.0
35	38.44007187708387	40.0	40.0	40.0	40.0	40.0
36	38.33926896495037	40.0	40.0	40.0	40.0	40.0
37	38.22022068511679	40.0	40.0	40.0	40.0	40.0
38	38.10689214500594	40.0	40.0	40.0	40.0	40.0
39	37.96916255032025	40.0	40.0	40.0	40.0	40.0
40	37.82207531771574	40.0	40.0	40.0	40.0	40.0
41	37.669430993350915	40.0	40.0	40.0	24.0	40.0
42	37.499727039382265	40.0	40.0	40.0	24.0	40.0
43	37.333534698763316	40.0	40.0	40.0	24.0	40.0
44	37.14868220280017	40.0	40.0	40.0	24.0	40.0
45	36.958576420335675	40.0	40.0	40.0	24.0	40.0
46	36.74159578425101	40.0	40.0	40.0	24.0	40.0
47	36.53327166546902	40.0	40.0	40.0	24.0	40.0
48	36.33961895932439	40.0	40.0	40.0	24.0	40.0
49	36.109331968237804	40.0	40.0	40.0	24.0	40.0
50	35.88964642936764	40.0	40.0	40.0	12.0	40.0
51	35.632557019276284	40.0	40.0	40.0	12.0	40.0
52	35.378910158810235	40.0	40.0	40.0	12.0	40.0
53	35.1474404792458	40.0	40.0	40.0	12.0	40.0
54	34.89671995747142	40.0	40.0	40.0	12.0	40.0
55	34.62011917285946	40.0	40.0	40.0	12.0	40.0
56	34.34184349531346	40.0	40.0	40.0	12.0	40.0
57	34.04026116595907	40.0	24.0	40.0	12.0	40.0
58	33.741221358331174	40.0	24.0	40.0	12.0	40.0
59	33.44142137524	40.0	24.0	40.0	12.0	40.0
60	33.15919263601675	40.0	24.0	40.0	12.0	40.0
61	32.867118097510634	40.0	24.0	40.0	12.0	40.0
62	32.57451774449135	40.0	24.0	40.0	12.0	40.0
63	32.277098337021336	40.0	24.0	40.0	12.0	40.0
64	31.98865055102329	40.0	24.0	40.0	12.0	40.0
65	31.69844808774716	40.0	24.0	40.0	12.0	40.0
66	31.41740978708548	40.0	24.0	40.0	12.0	40.0
67	31.1452328718516	40.0	24.0	40.0	12.0	40.0
68	30.874420218485636	40.0	24.0	40.0	12.0	40.0
69	30.62652356921308	40.0	12.0	40.0	12.0	40.0
70	30.362917663342838	40.0	12.0	40.0	12.0	40.0
71	30.128964502071085	40.0	12.0	40.0	12.0	40.0
72	29.84979854354278	40.0	12.0	40.0	12.0	40.0
73	29.63708516385607	40.0	12.0	40.0	12.0	40.0
74	29.40394970067155	40.0	12.0	40.0	12.0	40.0
75	29.190593528645493	40.0	12.0	40.0	12.0	40.0
76	28.984296481825275	40.0	12.0	40.0	12.0	40.0
77	28.791698740999394	40.0	12.0	40.0	12.0	40.0
78	28.586887886414022	40.0	12.0	40.0	12.0	40.0
79	28.40872428605134	40.0	12.0	40.0	12.0	40.0
80	28.229779103584686	40.0	12.0	40.0	12.0	40.0
81	28.025887864641625	24.0	12.0	40.0	12.0	40.0
82	27.869899132017807	24.0	12.0	40.0	12.0	40.0
83	27.703344682576365	24.0	12.0	40.0	12.0	40.0
84	27.567352678408916	24.0	12.0	40.0	12.0	40.0
85	27.401892092984497	24.0	12.0	40.0	12.0	40.0
86	27.300779770620753	24.0	12.0	40.0	12.0	40.0
87	27.191676345827617	24.0	12.0	40.0	12.0	40.0
88	27.08218031602795	24.0	12.0	40.0	12.0	40.0
89	26.963963919702707	24.0	12.0	40.0	12.0	40.0
90	26.86125311785794	24.0	12.0	40.0	12.0	40.0
91	26.76315031907683	24.0	12.0	40.0	12.0	40.0
92	26.657393413056553	24.0	12.0	40.0	12.0	40.0
93	26.548621670099052	24.0	12.0	40.0	12.0	40.0
94	26.470165570801697	24.0	12.0	40.0	12.0	40.0
95	26.389141944884006	24.0	12.0	40.0	12.0	40.0
96	26.315021701099386	24.0	12.0	40.0	12.0	40.0
97	26.226801336563227	24.0	12.0	40.0	12.0	40.0
98	26.165298945763723	24.0	12.0	40.0	12.0	40.0
99	26.079873830811767	24.0	12.0	40.0	12.0	40.0
100	26.003461687587155	24.0	12.0	40.0	12.0	40.0
101	25.934427134743384	24.0	12.0	40.0	12.0	40.0
102	25.846491561070746	24.0	12.0	40.0	12.0	40.0
103	25.768470623043218	24.0	12.0	40.0	12.0	40.0
104	25.70469610342546	24.0	12.0	40.0	12.0	40.0
105	25.63719850883051	24.0	12.0	40.0	12.0	40.0
106	25.576435331692586	24.0	12.0	40.0	12.0	40.0
107	25.507814370370323	24.0	12.0	40.0	12.0	40.0
108	25.443596069491658	24.0	12.0	40.0	12.0	40.0
109	25.404310109220575	24.0	12.0	40.0	12.0	40.0
110	25.367073294810442	24.0	12.0	40.0	12.0	40.0
111	25.34292360886306	24.0	12.0	40.0	12.0	40.0
112	25.32829647747574	24.0	12.0	40.0	12.0	40.0
113	25.30068420932057	24.0	12.0	40.0	12.0	40.0
