gene	cell	mean_umi	median_umi	mean_gene	median_gene
11320	165093	2.49390949343703	1	2.14465785950949	1
11320	125	734.096	364	405.344	241
3701	125	711.216	356	384.232	230
3521	72	1111.36111111111	893.5	573.347222222222	546
3521	70	1134.48571428571	923	584.342857142857	552
3521	32	1222.21875	975.5	645.9375	600.5
3521	31	1253.93548387097	983	660.483870967742	613
