gene	cell	mean_umi	median_umi	mean_gene	median_gene
5756	396	255	34	146.785353535354	29
5756	93	961.118279569892	597	523.096774193548	384
3688	93	929.569892473118	581	494.290322580645	368
3602	70	1174.08571428571	946	610.257142857143	577.5
3602	68	1199.51470588235	972.5	622.323529411765	580
3602	50	1350.84	1051.5	687.16	640
3602	49	1373.48979591837	1067	697.102040816327	651
